chunk_size,replicat,config,filename,decompress_bandwidth_GBps,global_cr,wallclock_ms,compress_ms,compress_bandwidth_GBps,wallclock_bandwidth_GBps
1,1,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19194,22388.0,1271.0,5.72881,0.325233
1,1,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19377,8390.0,6822.0,1.06733,0.867856
1,1,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.16088,1890.0,299.0,24.3522,3.85255
1,1,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08265,5463.0,3867.0,1.88294,1.33284
1,1,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08233,5817.0,4225.0,1.72339,1.25173
1,1,share/mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11.7867,7716.0,6119.0,1.18995,0.943664
1,1,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.79823,1924.0,335.0,21.7353,3.78447
1,1,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.82409,3442.0,1765.0,4.12539,2.11543
1,1,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.7158,1681.0,101.0,72.0922,4.33154
1,1,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28216,2631.0,1038.0,7.01475,2.76751
1,1,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.29903,2709.0,1109.0,6.56566,2.68782
1,1,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.44763,1803.0,200.0,36.4066,4.03844
1,1,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,36.834,2767.0,1199.0,6.07282,2.63148
1,1,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,393.193,1680.0,103.0,70.6923,4.33411
1,1,share/roibin_sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,389.712,1678.0,108.0,67.4196,4.33928
